	Signature.1	Signature.2	Signature.3	Signature.13	Signature.6	out
TCGA-A1-A0SB-01A-11D-A142-09	11	0	3	0	1	0
TCGA-A1-A0SD-01A-11D-A10Y-09	19	2	3	0	0	0
TCGA-A1-A0SE-01A-11D-A099-09	3	4	9	0	8	0
TCGA-A1-A0SF-01A-11D-A142-09	0	20	0	0	16	0
TCGA-A1-A0SG-01A-11D-A142-09	13	2	9	0	4	0
TCGA-A1-A0SH-01A-11D-A099-09	0	21	35	26	6	1
TCGA-A1-A0SI-01A-11D-A142-09	15	59	21	94	0	1
TCGA-A1-A0SJ-01A-11D-A099-09	0	6	6	2	16	0
TCGA-A1-A0SK-01A-12D-A099-09	83	0	77	0	0	1
TCGA-A1-A0SM-01A-11D-A099-09	6	2	5	0	9	0
TCGA-A1-A0SN-01A-11D-A142-09	14	6	19	8	0	0
TCGA-A1-A0SP-01A-11D-A099-09	8	2	16	0	7	0
TCGA-A1-A0SQ-01A-21D-A142-09	18	2	0	2	0	0
TCGA-A2-A04N-01A-11D-A10Y-09	8	5	19	0	7	0
TCGA-A2-A04P-01A-31D-A128-09	0	0	89	0	17	0
TCGA-A2-A04Q-01A-21W-A050-09	6	0	1	0	3	0
TCGA-A2-A04R-01A-41D-A117-09	13	0	44	5	14	0
TCGA-A2-A04T-01A-21W-A050-09	0	0	78	0	7	0
TCGA-A2-A04U-01A-11D-A10Y-09	28	0	21	0	0	0
TCGA-A2-A04V-01A-21W-A050-09	15	0	7	3	0	0
TCGA-A2-A04W-01A-31D-A10Y-09	17	36	17	34	0	0
TCGA-A2-A04X-01A-21W-A050-09	7	12	7	0	0	0
TCGA-A2-A04Y-01A-21W-A050-09	5	0	20	4	0	0
TCGA-A2-A0CK-01A-11D-A228-09	5	4	0	0	14	0
TCGA-A2-A0CL-01A-11D-A10Y-09	14	7	0	2	0	0
TCGA-A2-A0CM-01A-31W-A050-09	0	9	9	13	12	0
TCGA-A2-A0CO-01A-13D-A228-09	16	0	2	3	11	0
TCGA-A2-A0CP-01A-11W-A050-09	0	3	13	0	16	0
TCGA-A2-A0CQ-01A-21W-A050-09	12	0	13	0	6	0
TCGA-A2-A0CR-01A-11D-A228-09	0	58	13	49	0	0
TCGA-A2-A0CS-01A-11D-A10Y-09	14	0	9	0	5	0
TCGA-A2-A0CT-01A-31W-A071-09	39	12	10	9	0	0
TCGA-A2-A0CU-01A-12W-A050-09	12	0	14	0	0	0
TCGA-A2-A0CV-01A-31D-A10Y-09	3	0	2	2	14	0
TCGA-A2-A0CW-01A-21D-A10Y-09	25	15	18	0	0	0
TCGA-A2-A0CX-01A-21W-A019-09	33	93	20	49	0	0
TCGA-A2-A0CZ-01A-11W-A050-09	8	0	2	0	0	0
TCGA-A2-A0D0-01A-11W-A019-09	0	0	39	8	13	0
TCGA-A2-A0D1-01A-11W-A050-09	29	10	7	4	0	0
TCGA-A2-A0D2-01A-21W-A050-09	10	0	59	6	0	1
TCGA-A2-A0D3-01A-11D-A10Y-09	19	0	0	0	4	0
